,text,populer_text,populer_retweet,populer_favorite,Populer
0, قصة عجيبة واحد ع ه ثمانين سنة وما يطلع من البيت حتي يعلم امه وين رايح   شوفوا وش صار له نهايكاس عرب ,False,False,False,UnPopuler
1, كاس عرب كاس عالم   ,False,False,False,UnPopuler
2, مشاركتي مع المذيع المتالق خالدالغندور برنامج زملكاوي عبر قناة ناديالزمالك والحديث عن مشاركة الامارات في كاس عرب,False,False,False,UnPopuler
3, سؤال لمن يهمه الا ليش العماله المنزلية لما توصل يتم حجرها لمدة اسبوعين او اقل علي نفقة الكفيل بينما بقية مشجعين,False,True,False,Populer
4,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
5,   تشكيلة المنتخبين جزائر   و مصر   كاس عرب كاس عرب ,False,False,False,UnPopuler
6, واله صحيح انا مازلت مبرونشي مع كاس عرب هي التي فيها عرب افارقة و عرب اسيا  ه  ,False,False,False,UnPopuler
7, شكلك ما شفت كاس عرب ,False,False,False,UnPopuler
8, الجماعة لي قالت المنتخب جزائر لي لعب كاس عرب   ناقصو غير محرز تفضلو اليكم الخط الرعبجايكم   ,False,False,False,UnPopuler
9, و اله هي اخر اهتماماتي لما رايت مصير كاس عرب,False,False,False,UnPopuler
10, واله صحيح انا مازلت مبرونشي مع كاس عرب هي التي فيها عرب افارقة و عرب اسيا  ه  ,False,False,False,UnPopuler
11,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
12,دافع عن حبيبته فقتل بين يديها كاس عرب عاجل وظائف حفله هيرنيوز هرنيوز اخبار طفله مصر القاهره ,False,False,False,UnPopuler
13,   جمال بلماضي مدرب منتخب جزائر   يكشف عن قائمة الاعبين المشاركين في كاسام افريقيا بالكاميرون   والتي,False,True,False,Populer
14,طبيب مصري يقتل والدته بطريقة وعة ويطعن والده كاس عرب عاجل وظائف حفله هيرنيوز هرنيوز اخبار طفله ,False,False,False,UnPopuler
15,مقتل مصرين رمياً بالرصاص في الشارع والامن يتحرك كاس عرب عاجل وظائف حفله هيرنيوز هرنيوز اخبار ,False,False,False,UnPopuler
16,وفاة مصرين من اسرة واحدة اثناء ذهابهم لع ة في حادث وع بالسعودية كاس عرب عاجل وظائف حفله ,False,False,False,UnPopuler
17, واله صحيح انا مازلت مبرونشي مع كاس عرب هي التي فيها عرب افارقة و عرب اسيا  ه  ,False,False,False,UnPopuler
18, كيف لا يعود افضل لاعب في بطولة كاس عرب كيف لا يعود ثاني هداف في كاس عرب كيف لايعود الماهر ال ,False,False,False,UnPopuler
19, معليش المهم حنا رجال عليكم وما نطبعوش مع اسرائيل ورنبحاكم في كاس عرب ,False,False,False,UnPopuler
20, سطر العنابي اليوم انجاز كروي ميز الف الف مبروك لشعب القطري ولجماهير عربية وهاردلك لمنتخب الامارات الشقيق وفالكم الك,False,True,False,Populer
21, بالنسبالي عملت نفسي مسمعتش ولا شوفت حاجه لا ده من حقدهم وغلهم علي الاهلي لا منتخب جزائر نفسه رفع ع ,False,False,False,UnPopuler
22, هل اصبحت بطولة كاس عرب ودية بعد ان فازت بها جزائر ام ماذا كاسافريقيا لمحلين لم ا ,False,False,False,UnPopuler
23, عندكم كاسافريقيا عندكم كاس عرب اسمحلي مانقدرش نجاوبك  ,False,False,False,UnPopuler
24, كاين لاعبين اول ة يستدعيهم من بطولة كاس عرب,False,False,False,UnPopuler
25, لوسيل انفوجرافيك كاس عرب مكاسب تنظيمية واقتصادية ,False,False,False,UnPopuler
26, لا يهم الا ادا كانتكاسالمفترضة ستقع بين نفس الايدي التي وقعت فيها كاس عرب ال اخر اهتماماتي,False,False,False,UnPopuler
27,  الجيل المبهر يختم النسخة ال من مهرجان الشباب تحت شعار كلنا معاً محتفيا بالتضامن عربي وذلك من خ,False,False,False,UnPopuler
28, الفيفا يختار لاعب منتخبنا يزن النعيمات ضمن تقريره عن نجوم اظهرتهم كاس عرب في قطر   ,False,False,False,UnPopuler
29, يا اخي اتبع ترتيب الفيفا التي هي وصية علي كرة القدم عالمية بلا ما تعمل الفتنة بمادا فاز منتخب جزائر في ,False,False,False,UnPopuler
30, انا علي استعداد دعم منتخبقطر بالافكار والمقترحات والتطوير في تدريب كرة القدم وجعل قطر تفوز في ,False,False,False,UnPopuler
31, تمنيت استدعاء الاعب الشاب مزياني الذي ظهر في كاس عرب باداء مشرف,False,False,False,UnPopuler
32, هنا ابطال عرب   جزائر كاس عرب ,False,True,False,Populer
33, هناك لاعبين تم استدعائهم لاول ة بسب ادائهم الخرافي في كاس عرب لاعبو المنتخب الاول الاساسين ,False,False,False,UnPopuler
34, بالدوري القطري هكذا كان استقبال جمال بلمعري و ياسين براهيمي الفائزان بلقب كاس عرب رفقة منتخب بلادهما جزائر ,True,False,False,Populer
35,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
36, يجب ان يكون الاعب صلب جدا لان منافسة كاسافريقيا تختلف تمام علي منافسات كاس عرب و لعالم الفرق الا ,False,False,False,UnPopuler
37, هل تعلم ان اقوي حضور جماهيري حتي الان بكاس عرب كان يوم امس في مباراة مصر و جزائر   كاس عرب كاس عرب,False,False,False,UnPopuler
38, مزلتوا في اوهامكم نورمالمون من كاس عرب تبلعوا فامكم,False,False,False,UnPopuler
39, بالفيديو   م شرفي لثنائي جزائر ياسينبراهيمي و جمالبلع ي ابطال كاس عرب خلال مباراة نادي قطر الريان في,True,False,False,Populer
40, ليس هناك فخرا لي مثلك يا سفيرتنا الغاليه نفخر ونفتخر بالفنانة السعوديه المبدعه سلوي حجر بحصولها علي الفوز في بطولة كاس,False,False,False,UnPopuler
41, بالنسبة لمن يري ان سعيود يستحق مكانة في القائمة نخبره بانه يعاني من اصابة كما نشر ناديه الطائي السعودي قبل يومين,False,False,False,UnPopuler
42,   م شرفي تكريما لابطال عرب ياسين براهيمي جمال بن الع ي خلال مباراة نادي قطر الريان في الدوري القطري   الدوريال,True,True,False,Populer
43,ياربي بس ما صدقنا كاس عرب خلص عشان نشوف الزمالك يقوم يجينا توقف ٤٥ يوم لكاسالام هيوحشنا الزمالك بجد فترة هتكو ,False,False,False,UnPopuler
44,بالفيديو   م شرفي لثنائي جزائر ياسينبراهيمي و جمالبلع ي ابطال كاس عرب خلال مباراة نادي قطر الريان ,True,False,True,Populer
45, افه ال ء اثنتان الف كاسوحب كيس والنفوس اليا بغيت تعرفها ارم الفلوس ينكشف زيف الشعارات لا حمي الوطيس ترجع الاذناب اذناب و,False,False,False,UnPopuler
